location,sentiment,overall_sentiment_score
Godavarikhani,Positive,0.891
Godda,Positive,0.54388
Godhra,Negative,-0.40775
Gogipeth,Positive,0.5994
Gohana,Negative,0.01913750000000003
Gohpur,Positive,0.4404
Gokak,Positive,0.3612
Gola Gokarannath,Positive,0.4404
Golaghat,Negative,0.07125416666666667
Golaghat District,Negative,-0.12298333333333333
Gomati District,Positive,0.4404
Gomoh,Positive,0.5719
Gonda,Negative,0.10484090909090912
Gonda District,Negative,-0.005646666666666651
Gondal,Positive,0.7996
Gondiya,Neutral,0.23784999999999998
Gondiya District,Positive,0.6124
Gooty,Negative,-0.5256
Gopalganj,Neutral,0.21705
Gopalganj District,Positive,0.581404347826087
